id;title;state;priority;type;automation_status;description;pre_conditions;expected_results;template;steps;result;folder_id;folder_name;created_at;updated_at;
1;Авторизация пользователя в системе;0;2;0;0;Тестирование функциональности входа пользователя в систему с корректными учетными данными;;;1;1. Пользователь зарегистрирован в системе;Пользователь успешно авторизован и перенаправлен на главную страницу;;;; s;
;;;;;;;;;;2. Браузер открыт на странице логина;;;;;;
2;Создание нового проекта;0;2;0;0;Проверка возможности создания нового тестового проекта через интерфейс;;;1;1. Пользователь авторизован в системе;Новый проект успешно создан и отображается в списке проектов;;;;;
;;;;;;;;;;2. Находится на главной странице;;;;;;
3;Создание тест-кейса;0;1;0;0;Создание нового тест-кейса в существующем проекте;;;1;1. Пользователь авторизован;Тест-кейс успешно создан;;;;;
;;;;;;;;;;2. Проект создан;;;;;;
;;;;;;;;;;3. Находится в проекте;;;;;;
4;Валидация обязательных полей;0;3;0;0;Проверка валидации обязательных полей при создании проекта;;;0;Пользователь авторизован в системе;Система отображает ошибки валидации для незаполненных обязательных полей;;;;;
5;Тест производительности загрузки;0;1;5;0;Проверка времени загрузки главной страницы системы;;;0;1. Система доступна;Страница загружается менее чем за 3 секунды;;;;;
;;;;;;;;;;2. Интернет соединение стабильно;;;;;;
6;Проверка безопасности паролей;0;3;6;0;Тестирование требований к сложности паролей при регистрации;;;1;Страница регистрации открыта;Система корректно валидирует сложность пароля;;;;;
